ID	Year	Semester	BEFORE taking this class, which of the following did you feel comfortable with?	AFTER finishing this course, which of the following skills do you feel comfortable with?	AFTER finishing this course, which of the following skills do you feel least comfortable with?	What did you think about the format of the R and Python programming tutorials (i.e. do part in-person, finish at home, occasional flipped lectures/recorded lectures)? Let us know if you have any other suggestions!	Do you feel that the mid-semester projects were a valuable experience for you? Do you have any suggestions for how it could be improved?	Do you feel that the final project was a valuable experience for you? Do you have any suggestions for how it could be improved?	Describe the most valuable aspect(s) of this course.	Describe the least valuable aspect(s) of this course.	BEFORE taking this class, were you in a lab?	If you answered No above, how prepared did you feel about joining a lab BEFORE this class?	AFTER completing this course, are you in a lab now?	How prepared do you feel about joining a lab AFTER this class?	If you joined a lab since starting the course, did your experience in this class impact your search at all? If you were already in a lab before taking this course, did you still find this class useful and would you have liked to have taken the class before beginning in your lab? If you are not in a lab yet, how did this class impact your perception of computational research?	Do you have any suggestions for how next semester's instructors can improve this class? (In terms of content, teaching style, pace, accessibility, etc.)	Are there any topics that you would have liked to see in more detail? (i.e. biological background, machine learning, stats, high-performance cluster, etc.)	Any other questions, comments, or concerns about this course?
59	2021	Fall	NA	Python, Presentation Skills, Reading and Comprehending Scientific Literature	Command Line / Github, R	It worked well!	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
60	2021	Fall	NA	Command Line / Github, R, Presentation Skills, Reading and Comprehending Scientific Literature	Python	It worked well!	NA	NA	NA	NA	NA	NA	NA	NA	NA	Keep on being responsive and caring, it really makes a difference! 	Machine Learning and learning the cluster would be really fun to learn!	NA
61	2021	Fall	NA	Command Line / Github, R, Presentation Skills, Reading and Comprehending Scientific Literature	Python	It worked well!	NA	NA	NA	NA	NA	NA	NA	NA	NA	I think I would have appreciated feedback on the midsemester project	i would have liked more specific instruction/practice with finding and figuring out how to use public datasets that we could potentially use for our own research in the future	I think these are really hard topics and difficult to teach, but you guys did a great job of helping us out and making it more digestible 
62	2021	Fall	NA	Command Line / Github, Python	Presentation Skills	It worked well!, They were very helpful and I just used them recently for something I had to code	NA	NA	NA	NA	NA	NA	NA	NA	NA	To clarify, when I answered not enough time for the in-person meeting time, I think the amount of time we got to work was enough but I think that some extra time to get feedback and help with the code would be helpful.	Machine learning would be interesting to go more into depth	If we are not retaking the group again but would be interesting in revisiting some of the meetings/concepts could we do something like that (drop in to some of the meetings)? Olivia and I asked about this at our last meeting but I wanted to double check.
73	2021	Spring	NA	Command Line / Github, Basic R (i.e. syntax, documentation, etc.), Scientific R (i.e. SummarizedExperiments, MAF files, plotting, maftools, DESeq2, etc.), Basic Python (i.e. syntax, documentation, etc.), Scientific Python (i.e. numpy, pandas, matplotlib, seaborn, etc.),	NA	NA	NA	NA	working on the projects	learning the languages was kind of rushed	NA	NA	NA	5	NA	have the group be a year long commitment instead of just a semester, spend more time teaching coding	more machine learning would be cool	Thank you! this group was really fun and definitely has made me more confident with python and R data analysis
74	2021	Spring	NA	Command Line / Github,Basic R (i.e. syntax, documentation, etc.), Scientific R (i.e. SummarizedExperiments, MAF files, plotting, maftools, DESeq2, etc.), Basic Python (i.e. syntax, documentation, etc.), Scientific Python (i.e. numpy, pandas, matplotlib, seaborn, etc.)	NA	NA	NA	NA	I liked collaborating with people on a project!	NA	NA	NA	NA	4	NA	I think having literal lab-like assignments would be helpful (the way 103/104 labs worked).	Maybe a bit more biological background would be useful about the problem we're solving (and not just the content directly related to the data generation)	NA
75	2021	Spring	NA	Basic R (i.e. syntax, documentation, etc.), Scientific R (i.e. SummarizedExperiments, MAF files, plotting, maftools, DESeq2, etc.), Basic Python (i.e. syntax, documentation, etc.), Scientific Python (i.e. numpy, pandas, matplotlib, seaborn, etc.),	NA	NA	NA	NA	Your availability, and the demos.	dunno	NA	NA	NA	3	NA	Maybe sometimes briefly say what you are doing in your own research.	dunno	Nope. Thanks for everything. I wish you both the best in wherever you go next.
76	2021	Spring	NA	Basic Python (i.e. syntax, documentation, etc.), Scientific Python (i.e. numpy, pandas, matplotlib, seaborn, etc.),	NA	NA	NA	NA	Technical tutorials, since I came into this group without prior programming experience in Linux, R, or Python	NA	NA	NA	NA	3	NA	Maybe require supplemental meetings for people without much prior programming experience to help troubleshoot/get them more comfortable with using the terminal, github, and R/Python syntax	NA	Thank you for all your hard work in putting this group together! I really did learn a lot and I appreciate how organized and easy it was to stay involved and learn this much new material. 
77	2021	Spring	NA	Basic R (i.e. syntax, documentation, etc.), Scientific R (i.e. SummarizedExperiments, MAF files, plotting, maftools, DESeq2, etc.),	NA	NA	NA	NA	Video tutorials that showed everything step by step because they're easy to follow along 	NA	NA	NA	NA	3	NA	Tutorials to explain the basics (that are optional so the more experienced coders don't have to do it)	NA	NA
78	2021	Spring	NA	Command Line / Github, Basic R (i.e. syntax, documentation, etc.), Scientific R (i.e. SummarizedExperiments, MAF files, plotting, maftools, DESeq2, etc.),	NA	NA	NA	NA	The projects were really helpful for me! I learn best through hands on work, especially when that work is something I am interested in, so getting to learn the languages just by doing them was incredibly helpful. With that, getting skeleton code (for DESeq2 and limma) was incredibly helpful, since I was able to balance filling in blanks, writing my own code, and understanding the already written code.	Kind of a double edged sword, I thought that the group aspect of the projects could be a bit unhelpful at times, especially since the work was often not divided very equally. Especially being online, it could be really stressful at times trying to meet with my group so we could all work together. Oftentimes, it just fell into a cycle of a few people doing all of the work and the rest of the people being somewhat unresponsive. But that is not the fault of this group as a whole at all!! I think that was just a personal issue I ran into.	NA	NA	NA	4	NA	I would prefer to go deeper into topics instead of moving so quickly through them, especially when it came to the languages. I would have preferred to stick with R the entire time (or python the whole time).	I would have been interested in a crash course on statistics, at least for p-values, p-adjusted values, and some of the other output values of the differential analysis codes.	NA
