ID	What do you hope to gain from taking this class?	Describe your past coding experience. None is okay!				
S1	I hope to explore the field of quantitative biology more thoroughly with this hands-on approach. I switched to the major a bit late into this semester and was unable to join QBIO-105. So, I'm still looking for some way to begin dipping my toes into the QBIO field and this sounds perfect since I'm a complete beginner. I want to use this class to develop a totally new skill set in a low-stakes, learning-focused way.	One year of Java coding for AP Computer Science: A. Passed with a score of "4".				
S2	Gaining more skill for a research job in a lab. Getting started with R & Python	Currently taking CSCI 103 (Intro into C++) Some Java from AP CompSci in HS 				
S3	I want to build a strong foundation in data analysis and improve my coding skills to have the necessary skills to work in a computational lab	I have some experience coding with R and Python through courses. I also know C++ from the CS classes				
S4	Some more coding skills!	Have done R (regression models) and python				
S5	Overall, I hope to gain an introduction to bioinformatics and strengthen my scientific research skills, as most of my current research is around health disparities and social stressors on health. I'd like to develop a stronger understanding of biology in a quantitative sense, and on how to write a scientific paper!	none				
S6	Mostly experience regarding data set analysis. Something tells me the research I will be interested in will largely work with data sets of this type or something similar, so I genuinely believe this course will be valuable in that regard.	I have completed courses such as AP CS A (Java), QBIO 310 (R Studio), and CSCI 103 (C++). I don't have much practical experience regarding projects or the like, however.				
S7	I hope to develop my coding skills, learn how to apply coding skills to biological data, and be further introduced to research in the QBIO department!	None				
S8	I am a first-generation college student, so this course appeals to me in more ways than one and I am particularly hopeful that I will learn how to seek various research opportunities at USC. I hope this course helps me apply and further develop my data analysis skills, especially through the integration of programming/coding into my skillset. Moreover, I have a strong interest in oncology and analyzing real cancer patient data would expand my current understanding on cancer biology.	I don't have any coding experience :(				
S9	Python!	some C++, some R				
S10	Improved research skills 	C++, Java, R				
S11	Better understanding of applying computational skills to real world applications.	I have taken a course in Java and am somewhat familiar with R and Python				
S12	Bioinformatic skills applicable to my lab, especially in Python.	CSCI102, which provided beginner knowledge in C++. Otherwise, I do not have any coding experience.				
S13	I  hope to be able to gain soft skills like being able to read literature and research while also working collaboratively. I also would want to gain hard skills like coding. I want to further understand the true essence of what QBIO is and see if this is the type of work I want to do 	None at all!				
S14	I hope to gain broad skills and knowledge in bioinformatics and I hope to meet people.	Have taken 3 classes in the ITP department that utilized Python.				
S15	I hope to gain better insight into the utility of R. 	I know C++, Python and very little R programming				
S16	Research Experience	Python, R, C++ 				
S17	research skills needed in lab	took python course and R for basic data analysis				
S18	I want to learn R and Python. I'm also really interested in learning about Github and other programming applications.	Proficient in Matlab (ITP 168, used in research), learning C++ in CSCI 102				
S19	I hope to connect more with the QBIO community while learning the foundational technical skills needed to conduct multi-omic data analyses to further my understanding of the field and find research opportunities.	Some previous experience in Python and Java, currently taking CSCI 102 and will be taking CSCI 170 in the spring.				
S20	Learn computational skills that can be applied in the research lab I am currently in	I am currently taking CS 103				
S21	Taking this class, I hope to gain a better understanding of what research within the quantitative biology field looks like. Furthermore, I want to get familiar with research techniques and brush up on my coding skills. Overall, I am excited to take this research-oriented class. 	In high school, I took 3 years of Computer Science: Introduction, AP Computer Science A, and Advanced Topics in Computer Science. I've coded in both Java and C++. 				
S22	Gain more information on different types of qbio researches and the skills required 	I passed AP cs and took itp116. In spring 2023, I’ll be taking caci103 and maybe csci107.				
S24	I hope to gain a strong foundation in using R and Python for data analysis, which will be especially beneficial to transitioning to research.	Python (machine learning, Jupyter Notebooks, etc), Java, JavaScript				
S25	I hope to gain more skills relating to the QBIO major.	I have some experience with R and data analysis. I also have a little bit of experience with Java.				
S26	An introduction to how to actually apply the computer science and coding part of qbio to biology.	Almost none—have done some work with HTML and CSS				
S27	Research skills, using R	AP CSA (Java) in high school, basic python, some golang for basic bioinformatics processes a couple years ago				
S28	Ability to perform analysis on multi-omics and single-cell data	C++/Java/Python; some Bash				
S29	R and python language for data analysis; research technique to be used in labs; possible research lab opportunities 	Introduction to python(itp115); introduction to c++(csci103)				
S30	I hope to learn more about how to use Python and R as well as their practical applications.	Introductory C++				
S31	I hope to understand how to efficiently take apart datasets and perform effective analysis on large groups of data. I also hope to apply what I know about coding to this course in a productive way.	I've taken CSCI102, CSCI103, and CSCI104, in addition to some programming experience from high school. In total, I have about 1 year of C and 2 years of C++ coding experience.				
S32	I hope to gain computational research skills through the analysis of real patient data while working with a cohort of other QBIO students.	During middle and high school, I have learned the introductory skills of many programming languages such as HTML/CSS, Java, C#, PHP, Swift, etc. Although I don't remember much of the specifics regarding these languages, I do have a good understanding of programming and the logic involved. I also took the quantitative biology lab section of BISC 221 during Spring 2022 in which I annotated a marine microorganism genome for metabolic function deduction using Prodigal, Hmmer, Cplex, Diamond, CarveMe, COBRA, and Escher bioinformatic tools.				
S33	Learn more about coding in the context of biology and genes	basic C++, Java, and Python				
S34	A greater understanding of how coding plays into biology	3 years of vb.net and a year of Java 				
S35	Python and R skills! 	Took one year of Java in high school, and will be taking CSCI103 at the same time				
S36	Fundamental machine learning/coding experience for research endeavors	CSCI-102				
S37	Better python skills	Experience in R and C++. Completed CS 103 and CS 170.				
S38	Improving my proficiency in R.	Java, C++, Python for ML. 				
S40	I hope to gain some foundational programming skills in Python and R, specifically dealing with bioinformatics tools. I also seek to acclimate myself with QBIO research by reading papers, analyzing openly available genomic data and presenting my analysis. I feel that cultivating these skills will prepare me for future research and laboratory work. 	28,40				
S41	I hope to become more familiar with languages such as R and Python, and learn to apply them in a group research setting. 	I have a little bit of experience with Python, but not too much. 				
S42	I hope to learn how to utilize code to analyze and interpret biological data!	None				
