ID	Name	Status	Year	Semester
S1		Sophomore	2023	Fall
S10		Junior	2023	Fall
S11		Sophomore	2023	Fall
S12		Sophomore	2023	Fall
S13		Sophomore	2023	Fall
S14		Junior	2023	Fall
S15		Senior	2023	Spring
S16		Junior	2024	Spring
S17		Sophomore	2023	Spring
S18		Sophomore	2023	Spring
S19		Sophomore	2023	Spring
S2		Sophomore	2023	Fall
S20		Junior	2023	Spring
S21		Freshman	2023	Spring
S22		Freshman	2023	Spring
S24		Freshman	2023	Spring
S25		Freshman	2023	Spring
S26		Freshman	2023	Spring
S27		Freshman	2023	Spring
S28		Junior	2023	Spring
S29		Sophomore	2022	Fall
S3		Junior	2023	Fall
S30		Sophomore	2022	Fall
S31		Senior	2022	Fall
S32		Freshman	2022	Fall
S33		Junior	2022	Fall
S34		Sophomore	2022	Fall
S35		Sophomore	2022	Fall
S36		Sophomore	2022	Fall
S37		Junior	2022	Fall
S38		Sophomore	2022	Fall
S4		Junior	2023	Fall
S40		Sophomore	2022	Fall
S41		Sophomore	2022	Spring
S42		Sophomore	2022	Spring
S43		Junior	2022	Spring
S44		Junior	2022	Spring
S45		Senior	2022	Spring
S46		Junior	2022	Spring
S47		Junior	2022	Spring
S48		Junior	2022	Spring
S49		Freshman	2022	Spring
S5		Sophomore	2023	Fall
S50		Sophomore	2022	Spring
S51		Freshman	2022	Spring
S52		Junior	2022	Spring
S53		Junior	2022	Spring
S54		Junior	2022	Spring
S55		Freshman	2023	Fall
S6		Senior	2023	Fall
S7		Sophomore	2023	Fall
S8		Freshman	2023	Fall
S9		Junior	2023	Fall
S56		Junior	2024	Spring
S57		Junior	2024	Spring
S58		Junior	2024	Spring
S59		Junior	2024	Spring
S60		Freshman	2024	Spring
S61		Sophomore	2024	Spring
S62		Junior	2024	Spring
S63		Senior	2024	Spring
S64		Junior	2024	Spring
S65		Sophomore	2024	Spring
S66		Sophomore	2024	Spring
S67		Senior	2024	Spring
S68		Junior	2024	Fall
S69		Sophomore	2024	Fall
S70		Senior	2024	Fall
S71		Senior	2024	Fall
S72		Junior	2024	Fall
S73		Sophomore	2024	Fall
S74		Freshman	2024	Fall
S75		Sophomore	2024	Fall
S76		Freshman	2024	Fall
S77		Freshman	2024	Fall
S78		Freshman	2024	Fall
S79		Junior	2024	Fall
S80		Sophomore	2024	Fall
S81		Sophomore	2024	Fall
S82		Sophomore	2024	Fall
S83		Junior	2024	Fall
S84		Freshman	2024	Fall
S85		Senior	2024	Fall
S86		Sophomore	2024	Fall
S87		Junior	2021	Spring
S88		Freshman	2021	Spring
S89		Freshman	2021	Fall
S90		Freshman	2021	Fall
S91		Freshman	2022	Fall
S92		Freshman	2021	Spring
S93		Freshman	2021	Fall
S94		Sophomore	2021	Spring
S95		Sophomore	2022	Fall
S96		Freshman	2021	Spring
S97		Freshman	2021	Spring
S98		Junior	2021	Spring
S99		Sophomore	2021	Spring
S100		Junior	2021	Spring
S101		Freshman	2021	Spring
S102		Freshman	2022	Fall
S103		Junior	2023	Spring
S104		Freshman	2021	Spring
S105		Sophomore	2023	Spring
S107		Junior	2021	Spring
S108		Junior	2021	Spring
S109		Sophomore	2022	Fall
S110		Sophomore	2024	Fall
